age,workclass,education,marital.status,income
31,Govt,7th-8th,Married,<=50K.
18,Private,HS-grad,Never Married,<=50K.
52,Private,Bachelors,Married,<=50K.
46,Private,HS-grad,Married,<=50K.
59,Private,HS-grad,Married,<=50K.
44,Private,HS-grad,Divorced,>50K.
53,Private,HS-grad,Divorced,<=50K.
49,Govt,HS-grad,Married,>50K.
33,Private,Masters,Married,<=50K.
30,Private,9th,Never Married,<=50K.
43,Govt,Doctorate,Never Married,>50K.
57,Private,Assoc-voc,Married,<=50K.
37,Private,Some-college,Divorced,<=50K.
28,Private,Some-college,Divorced,<=50K.
30,Private,HS-grad,Married,<=50K.
34,Govt,Bachelors,Married,>50K.
29,Govt,Some-college,Never Married,<=50K.
48,Self,Doctorate,Married,>50K.
37,Private,Some-college,Married,>50K.
48,Private,Assoc-acdm,Divorced,<=50K.
32,Govt,HS-grad,Never Married,<=50K.
76,Private,Masters,Married,>50K.
44,Private,Bachelors,Married,>50K.
47,Self,Masters,Never Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
29,Private,HS-grad,Never Married,<=50K.
32,Self,HS-grad,Married,>50K.
17,NA,10th,Never Married,<=50K.
30,Private,11th,Never Married,<=50K.
31,Govt,HS-grad,Never Married,<=50K.
42,Private,HS-grad,Married,<=50K.
24,Private,Bachelors,Never Married,<=50K.
38,Private,Prof-school,Married,>50K.
56,Self,HS-grad,Married,>50K.
28,Private,Some-college,Married,<=50K.
36,Private,HS-grad,Never Married,<=50K.
53,Private,9th,Married,<=50K.
56,Self,Some-college,Married,<=50K.
49,Govt,Assoc-voc,Married,>50K.
55,Private,Some-college,Married,<=50K.
22,Private,HS-grad,Never Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
40,Private,Bachelors,Married,<=50K.
30,Private,Bachelors,Never Married,<=50K.
29,Govt,Bachelors,Married,>50K.
19,Private,Some-college,Never Married,<=50K.
47,Private,Bachelors,Married,>50K.
20,Private,Some-college,Never Married,<=50K.
31,Private,Assoc-acdm,Married,>50K.
35,NA,HS-grad,Married,<=50K.
39,Private,Some-college,Divorced,<=50K.
28,Private,Assoc-acdm,Never Married,<=50K.
24,Private,HS-grad,Never Married,<=50K.
38,Self,HS-grad,Married,<=50K.
37,Private,Bachelors,Married,<=50K.
46,Private,Assoc-acdm,Divorced,<=50K.
38,Govt,Masters,Married,>50K.
43,Self,HS-grad,Married,<=50K.
27,Private,Assoc-voc,Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
49,Private,Some-college,Married,>50K.
61,Self,HS-grad,Married,<=50K.
27,Private,Some-college,Never Married,<=50K.
19,Private,Some-college,Never Married,<=50K.
45,Private,Assoc-voc,Never Married,>50K.
70,Private,Some-college,Never Married,<=50K.
31,Private,HS-grad,Never Married,<=50K.
22,Private,Some-college,Married,<=50K.
36,Private,HS-grad,Widowed,<=50K.
64,Private,11th,Married,<=50K.
43,NA,Some-college,Divorced,<=50K.
47,Govt,Some-college,Divorced,<=50K.
34,Private,HS-grad,Never Married,<=50K.
33,Private,Bachelors,Never Married,<=50K.
21,Private,HS-grad,Never Married,<=50K.
52,NA,HS-grad,Divorced,>50K.
48,Private,HS-grad,Married,<=50K.
23,Private,Bachelors,Never Married,<=50K.
71,Self,Some-college,Separated,<=50K.
29,Private,HS-grad,Divorced,<=50K.
42,Private,Bachelors,Separated,<=50K.
68,NA,1st-4th,Divorced,<=50K.
25,Private,HS-grad,Never Married,<=50K.
44,Self,Masters,Divorced,<=50K.
28,Private,HS-grad,Never Married,<=50K.
45,Self,Masters,Married,>50K.
36,Private,Some-college,Divorced,<=50K.
39,Govt,Assoc-acdm,Never Married,<=50K.
46,Govt,Masters,Widowed,<=50K.
18,Private,11th,Never Married,<=50K.
66,Govt,Assoc-voc,Widowed,<=50K.
27,Private,HS-grad,Never Married,<=50K.
28,Govt,HS-grad,Married,<=50K.
51,Private,Some-college,Married,>50K.
27,Private,Bachelors,Never Married,<=50K.
28,Govt,Bachelors,Married,>50K.
27,Private,HS-grad,Married,<=50K.
21,Private,HS-grad,Never Married,<=50K.
34,Private,HS-grad,Never Married,<=50K.
18,Private,HS-grad,Never Married,<=50K.
33,Private,Bachelors,Married,<=50K.
44,Govt,Some-college,Married,>50K.
43,Private,Some-college,Divorced,<=50K.
30,Private,Some-college,Never Married,<=50K.
40,Private,7th-8th,Married,>50K.
37,Govt,Some-college,Married,>50K.
34,Private,HS-grad,Married,<=50K.
41,Self,Bachelors,Divorced,<=50K.
53,NA,Bachelors,Divorced,<=50K.
31,Private,Masters,Married,<=50K.
58,Govt,Doctorate,Married,>50K.
38,Private,Some-college,Divorced,<=50K.
24,Private,Some-college,Married,<=50K.
41,Govt,Bachelors,Married,<=50K.
47,Private,Some-college,Married,<=50K.
41,Govt,Bachelors,Married,<=50K.
23,Private,5th-6th,Married,<=50K.
36,Private,Some-college,Divorced,<=50K.
40,Govt,Masters,Never Married,>50K.
35,Private,Masters,Married,>50K.
24,Self,HS-grad,Never Married,<=50K.
26,Private,Masters,Never Married,<=50K.
19,NA,HS-grad,Never Married,<=50K.
51,Private,Bachelors,Married,>50K.
42,Govt,Some-college,Never Married,<=50K.
37,Govt,HS-grad,Divorced,<=50K.
18,Private,11th,Never Married,<=50K.
36,Private,Bachelors,Married,>50K.
35,Private,HS-grad,Divorced,<=50K.
58,Self,HS-grad,Married,>50K.
17,Private,11th,Never Married,<=50K.
44,Govt,HS-grad,Married,<=50K.
37,Private,HS-grad,Married,>50K.
35,Private,Some-college,Never Married,<=50K.
60,Private,HS-grad,Married,<=50K.
54,Self,7th-8th,Married,>50K.
37,Private,Bachelors,Never Married,>50K.
50,Private,Assoc-acdm,Divorced,<=50K.
38,Private,Bachelors,Married,<=50K.
45,Private,Bachelors,Married,<=50K.
25,Private,10th,Never Married,<=50K.
31,Private,Some-college,Married,<=50K.
64,NA,1st-4th,Divorced,<=50K.
90,Private,HS-grad,Never Married,<=50K.
54,Private,HS-grad,Married,<=50K.
53,Govt,Preschool,Never Married,<=50K.
18,Private,HS-grad,Never Married,<=50K.
60,NA,10th,Divorced,<=50K.
66,Self,HS-grad,Married,<=50K.
75,Private,Assoc-voc,Widowed,<=50K.
65,Private,HS-grad,Divorced,<=50K.
35,Private,11th,Separated,<=50K.
41,Private,HS-grad,Divorced,<=50K.
25,Private,Some-college,Never Married,<=50K.
33,Private,Some-college,Divorced,<=50K.
28,Private,Prof-school,Never Married,>50K.
59,Govt,HS-grad,Married,<=50K.
40,Govt,Some-college,Never Married,<=50K.
41,Private,Bachelors,Married,>50K.
38,Govt,Masters,Married,>50K.
23,Private,HS-grad,Never Married,<=50K.
40,Private,Bachelors,Married,>50K.
41,Self,HS-grad,Married,<=50K.
24,Govt,Assoc-acdm,Married,<=50K.
20,NA,Some-college,Never Married,<=50K.
38,Private,Some-college,Divorced,<=50K.
56,Private,HS-grad,Married,<=50K.
58,Private,HS-grad,Married,>50K.
32,Private,HS-grad,Never Married,<=50K.
40,Private,Assoc-acdm,Married,>50K.
45,Private,HS-grad,Married,<=50K.
41,Private,Prof-school,Married,>50K.
42,Private,Bachelors,Married,<=50K.
59,Govt,10th,Widowed,<=50K.
19,Govt,Some-college,Never Married,<=50K.
58,Private,Some-college,Never Married,<=50K.
42,Self,HS-grad,Married,>50K.
20,Private,HS-grad,Never Married,<=50K.
32,Private,HS-grad,Separated,<=50K.
45,Private,Assoc-voc,Widowed,<=50K.
50,Private,7th-8th,Divorced,<=50K.
36,Private,Bachelors,Divorced,<=50K.
45,Private,HS-grad,Married,<=50K.
17,Private,11th,Never Married,<=50K.
59,Private,Some-college,Married,<=50K.
26,Private,11th,Married,<=50K.
37,Self,Some-college,Married,>50K.
19,NA,Some-college,Never Married,<=50K.
64,Private,HS-grad,Married,>50K.
33,Private,Bachelors,Never Married,<=50K.
33,Private,HS-grad,Married,>50K.
61,Private,HS-grad,Married,>50K.
17,Private,9th,Never Married,<=50K.
50,Self,Masters,Married,<=50K.
27,Govt,Masters,Never Married,<=50K.
30,Private,HS-grad,Divorced,<=50K.
43,Private,HS-grad,Married,<=50K.
44,Private,Some-college,Married,>50K.
35,Private,Some-college,Never Married,<=50K.
25,Private,Some-college,Never Married,<=50K.
24,Private,Some-college,Married,>50K.
22,Private,Bachelors,Never Married,<=50K.
42,Govt,Some-college,Married,>50K.
34,Private,Assoc-acdm,Divorced,<=50K.
60,Private,Bachelors,Divorced,<=50K.
21,Private,HS-grad,Never Married,<=50K.
57,Govt,Masters,Married,>50K.
41,Private,Prof-school,Married,>50K.
50,Private,Some-college,Divorced,<=50K.
25,Private,Bachelors,Never Married,<=50K.
50,Private,7th-8th,Married,<=50K.
36,Private,Bachelors,Married,<=50K.
31,Private,HS-grad,Divorced,<=50K.
29,Govt,Bachelors,Never Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
27,Private,Bachelors,Never Married,<=50K.
65,Private,HS-grad,Married,<=50K.
37,Self,Bachelors,Divorced,<=50K.
39,NA,Masters,Married,<=50K.
24,Private,HS-grad,Never Married,<=50K.
38,Private,HS-grad,Divorced,<=50K.
48,Private,Bachelors,Married,>50K.
21,Private,Some-college,Never Married,<=50K.
31,Private,HS-grad,Married,>50K.
55,Private,HS-grad,Married,>50K.
24,Private,Some-college,Married,<=50K.
43,Private,HS-grad,Divorced,<=50K.
26,Private,Assoc-acdm,Never Married,<=50K.
46,Private,Assoc-acdm,Never Married,<=50K.
35,Private,Assoc-acdm,Married,>50K.
41,Self,Some-college,Married,>50K.
26,Private,Bachelors,Never Married,<=50K.
34,Private,Masters,Married,>50K.
19,NA,Some-college,Never Married,<=50K.
36,Self,Bachelors,Divorced,>50K.
22,Private,Some-college,Never Married,<=50K.
24,Private,Some-college,Never Married,<=50K.
77,Self,Some-college,Married,<=50K.
22,Private,5th-6th,Married,<=50K.
29,Private,Some-college,Never Married,<=50K.
62,Private,HS-grad,Widowed,<=50K.
39,Self,HS-grad,Married,<=50K.
43,Private,Some-college,Married,<=50K.
35,Private,HS-grad,Divorced,<=50K.
29,Private,11th,Never Married,<=50K.
76,Self,Masters,Married,<=50K.
63,Self,HS-grad,Married,<=50K.
23,NA,Assoc-voc,Never Married,<=50K.
43,Private,Some-college,Married,>50K.
58,Self,HS-grad,Married,<=50K.
66,Private,HS-grad,Never Married,<=50K.
41,Private,Some-college,Never Married,<=50K.
26,Private,Bachelors,Never Married,<=50K.
47,Private,Assoc-voc,Never Married,<=50K.
55,Govt,10th,Married,<=50K.
53,Private,HS-grad,Married,<=50K.
17,Private,5th-6th,Never Married,<=50K.
30,Private,HS-grad,Never Married,<=50K.
49,Private,Masters,Never Married,<=50K.
19,Private,HS-grad,Never Married,<=50K.
45,Private,HS-grad,Married,<=50K.
26,Private,Assoc-acdm,Never Married,<=50K.
38,Private,Assoc-voc,Married,>50K.
36,Govt,HS-grad,Married,>50K.
33,Private,HS-grad,Never Married,<=50K.
22,Govt,Some-college,Never Married,<=50K.
43,Self,Bachelors,Never Married,<=50K.
67,NA,11th,Married,<=50K.
30,NA,Assoc-voc,Divorced,<=50K.
56,Private,Assoc-acdm,Married,<=50K.
31,Private,Bachelors,Never Married,<=50K.
33,Private,Bachelors,Married,>50K.
26,Private,HS-grad,Married,<=50K.
33,Private,Bachelors,Married,>50K.
46,Govt,11th,Married,<=50K.
59,NA,Bachelors,Married,>50K.
38,Govt,HS-grad,Married,>50K.
65,Private,11th,Widowed,<=50K.
40,Private,Assoc-voc,Married,>50K.
42,Private,HS-grad,Married,<=50K.
26,Self,9th,Married,<=50K.
36,Private,10th,Married,<=50K.
62,Private,Masters,Married,>50K.
43,Private,Bachelors,Married,<=50K.
43,Private,Bachelors,Divorced,>50K.
22,Private,HS-grad,Married,<=50K.
28,Private,HS-grad,Married,<=50K.
56,Self,Some-college,Married,<=50K.
22,Private,Assoc-acdm,Never Married,<=50K.
57,Private,Bachelors,Divorced,>50K.
39,Private,HS-grad,Divorced,<=50K.
26,Govt,Some-college,Never Married,<=50K.
17,Private,11th,Never Married,<=50K.
40,Govt,Assoc-voc,Married,>50K.
45,Private,HS-grad,Married,<=50K.
44,Private,HS-grad,Never Married,<=50K.
20,Govt,Some-college,Never Married,<=50K.
33,Private,HS-grad,Married,<=50K.
23,Private,Some-college,Never Married,<=50K.
46,Self,Masters,Divorced,<=50K.
38,Private,HS-grad,Married,<=50K.
54,Private,HS-grad,Divorced,<=50K.
46,Private,5th-6th,Divorced,<=50K.
25,Private,Some-college,Married,<=50K.
46,Private,Some-college,Divorced,<=50K.
36,Govt,Some-college,Married,<=50K.
23,Private,HS-grad,Never Married,<=50K.
29,Private,HS-grad,Separated,<=50K.
44,Private,Some-college,Married,>50K.
19,Private,Some-college,Never Married,<=50K.
19,Private,HS-grad,Never Married,<=50K.
35,Private,HS-grad,Married,>50K.
27,Private,Bachelors,Never Married,<=50K.
46,Self,Assoc-acdm,Separated,<=50K.
34,Govt,Bachelors,Married,>50K.
34,Private,HS-grad,Never Married,<=50K.
44,Private,Some-college,Married,<=50K.
45,Private,Some-college,Divorced,<=50K.
20,NA,HS-grad,Never Married,<=50K.
25,Private,Bachelors,Married,>50K.
52,Self,Bachelors,Married,>50K.
20,Private,Some-college,Never Married,<=50K.
28,Private,Some-college,Never Married,<=50K.
50,Govt,Bachelors,Married,>50K.
34,Private,Assoc-voc,Divorced,<=50K.
28,Private,7th-8th,Married,<=50K.
41,Private,Masters,Married,>50K.
28,Private,HS-grad,Married,<=50K.
46,Self,HS-grad,Married,<=50K.
28,NA,Some-college,Married,>50K.
32,Private,Some-college,Married,<=50K.
41,Govt,Some-college,Divorced,<=50K.
24,Private,HS-grad,Never Married,<=50K.
33,Private,Some-college,Divorced,<=50K.
46,Private,Doctorate,Married,>50K.
31,Govt,Some-college,Married,<=50K.
35,Private,12th,Divorced,>50K.
52,Private,1st-4th,Married,<=50K.
30,Private,11th,Never Married,<=50K.
34,Govt,11th,Separated,<=50K.
34,Govt,HS-grad,Divorced,<=50K.
20,Private,Some-college,Married,<=50K.
17,Private,11th,Never Married,<=50K.
32,Govt,Bachelors,Married,>50K.
29,Private,HS-grad,Divorced,<=50K.
33,Private,10th,Never Married,<=50K.
25,Private,HS-grad,Married,<=50K.
36,Govt,Masters,Never Married,<=50K.
23,Private,HS-grad,Never Married,<=50K.
63,Self,HS-grad,Married,>50K.
47,Govt,Masters,Married,<=50K.
80,NA,HS-grad,Widowed,<=50K.
17,NA,11th,Never Married,<=50K.
40,Self,Bachelors,Married,<=50K.
30,Private,Assoc-acdm,Married,>50K.
27,Private,Some-college,Never Married,<=50K.
33,Private,Masters,Married,>50K.
34,Govt,HS-grad,Never Married,<=50K.
34,Govt,Some-college,Never Married,<=50K.
23,Private,Some-college,Married,<=50K.
42,Govt,Some-college,Married,<=50K.
29,Private,Bachelors,Never Married,<=50K.
45,Private,HS-grad,Divorced,<=50K.
24,Govt,HS-grad,Never Married,<=50K.
44,Private,Some-college,Married,>50K.
27,Private,9th,Never Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
44,Private,HS-grad,Widowed,<=50K.
51,Private,HS-grad,Married,<=50K.
20,Private,HS-grad,Married,<=50K.
17,NA,11th,Never Married,<=50K.
19,Private,HS-grad,Never Married,<=50K.
45,Self,Some-college,Married,>50K.
60,Private,HS-grad,Married,>50K.
42,Private,Assoc-acdm,Married,>50K.
44,Self,HS-grad,Married,>50K.
40,Private,Assoc-voc,Married,>50K.
30,Private,HS-grad,Married,<=50K.
38,Private,Some-college,Married,<=50K.
23,Private,HS-grad,Married,<=50K.
32,NA,Some-college,Married,<=50K.
44,Private,Assoc-acdm,Never Married,<=50K.
54,Govt,HS-grad,Married,<=50K.
32,Private,Bachelors,Married,<=50K.
50,Private,1st-4th,Married,<=50K.
24,Private,Bachelors,Never Married,<=50K.
37,Private,HS-grad,Married,<=50K.
52,Private,HS-grad,Divorced,<=50K.
38,Private,Some-college,Married,<=50K.
49,Private,Masters,Married,>50K.
30,Private,Bachelors,Married,>50K.
60,Private,Some-college,Never Married,>50K.
22,NA,Some-college,Never Married,<=50K.
35,Private,HS-grad,Never Married,<=50K.
30,Private,HS-grad,Never Married,<=50K.
67,Private,Assoc-voc,Divorced,<=50K.
46,Private,Bachelors,Never Married,<=50K.
17,Private,9th,Never Married,<=50K.
22,Private,Some-college,Never Married,<=50K.
27,Private,10th,Never Married,<=50K.
23,Private,HS-grad,Never Married,<=50K.
33,Private,Assoc-acdm,Married,<=50K.
43,Self,Some-college,Married,<=50K.
28,Govt,Bachelors,Never Married,<=50K.
41,Private,HS-grad,Married,<=50K.
52,NA,12th,Never Married,<=50K.
25,Private,Some-college,Married,<=50K.
63,NA,1st-4th,Married,<=50K.
59,Govt,HS-grad,Married,<=50K.
45,Govt,Bachelors,Divorced,<=50K.
38,Private,Bachelors,Married,>50K.
40,Private,HS-grad,Never Married,<=50K.
46,Govt,HS-grad,Divorced,<=50K.
35,Private,Assoc-acdm,Never Married,<=50K.
34,Private,HS-grad,Divorced,<=50K.
33,Private,Bachelors,Never Married,<=50K.
41,Private,HS-grad,Divorced,<=50K.
20,Private,Some-college,Never Married,<=50K.
23,Private,5th-6th,Never Married,<=50K.
26,Private,Some-college,Never Married,<=50K.
72,NA,HS-grad,Married,<=50K.
23,Govt,HS-grad,Never Married,<=50K.
62,Govt,HS-grad,Married,<=50K.
52,Private,Some-college,Married,<=50K.
58,Private,Some-college,Divorced,<=50K.
25,Private,Bachelors,Never Married,<=50K.
24,Private,Bachelors,Never Married,<=50K.
19,Private,Some-college,Never Married,<=50K.
43,Private,Some-college,Married,<=50K.
47,Govt,HS-grad,Separated,<=50K.
39,Private,HS-grad,Divorced,<=50K.
49,Private,Assoc-voc,Married,<=50K.
53,NA,5th-6th,Widowed,<=50K.
32,Private,Assoc-voc,Never Married,<=50K.
34,Private,Some-college,Married,>50K.
28,Private,HS-grad,Divorced,<=50K.
57,NA,Assoc-voc,Widowed,<=50K.
25,Private,Some-college,Never Married,<=50K.
20,NA,Some-college,Never Married,<=50K.
21,NA,Some-college,Never Married,<=50K.
34,Private,Bachelors,Married,>50K.
38,Self,Bachelors,Married,>50K.
50,Private,HS-grad,Married,>50K.
24,Govt,Some-college,Divorced,<=50K.
37,Govt,Some-college,Married,>50K.
44,Private,Some-college,Divorced,>50K.
28,Private,Some-college,Married,<=50K.
42,Private,Bachelors,Married,>50K.
74,Private,Some-college,Divorced,<=50K.
38,Self,HS-grad,Married,<=50K.
44,Self,Masters,Married,<=50K.
44,Private,11th,Divorced,<=50K.
26,Private,HS-grad,Never Married,<=50K.
36,Private,HS-grad,Married,<=50K.
41,Private,Assoc-acdm,Married,>50K.
67,Private,Prof-school,Married,>50K.
39,Govt,12th,Married,<=50K.
57,Private,1st-4th,Widowed,<=50K.
29,Private,Assoc-voc,Separated,<=50K.
31,Self,Bachelors,Never Married,<=50K.
34,NA,HS-grad,Never Married,<=50K.
44,Private,Some-college,Married,<=50K.
29,Private,Doctorate,Never Married,<=50K.
30,Private,Some-college,Never Married,<=50K.
27,Private,HS-grad,Never Married,<=50K.
27,Private,Some-college,Married,<=50K.
32,Private,HS-grad,Never Married,<=50K.
58,Private,10th,Married,<=50K.
35,Govt,Some-college,Married,<=50K.
21,Private,HS-grad,Never Married,<=50K.
28,Private,Some-college,Never Married,<=50K.
46,Self,Some-college,Divorced,<=50K.
36,Self,HS-grad,Separated,<=50K.
72,Private,11th,Widowed,<=50K.
35,Private,HS-grad,Married,<=50K.
33,Govt,Assoc-voc,Divorced,>50K.
69,Private,11th,Never Married,<=50K.
35,Private,HS-grad,Married,<=50K.
31,Private,HS-grad,Separated,<=50K.
34,Private,HS-grad,Married,<=50K.
30,Private,11th,Married,<=50K.
28,Private,Bachelors,Never Married,<=50K.
54,Private,Bachelors,Married,>50K.
47,Private,Some-college,Married,>50K.
24,Private,HS-grad,Never Married,<=50K.
52,Self,Bachelors,Married,>50K.
20,Private,HS-grad,Never Married,<=50K.
43,Self,Masters,Married,<=50K.
45,Private,7th-8th,Separated,<=50K.
29,Self,HS-grad,Separated,<=50K.
47,Private,Masters,Divorced,<=50K.
24,Private,HS-grad,Never Married,<=50K.
51,Private,HS-grad,Married,<=50K.
17,Private,11th,Never Married,<=50K.
37,Private,Assoc-voc,Married,>50K.
27,Private,Doctorate,Never Married,<=50K.
29,Private,Bachelors,Married,>50K.
18,NA,12th,Never Married,<=50K.
36,Self,Assoc-acdm,Divorced,<=50K.
58,Govt,Bachelors,Never Married,<=50K.
26,Self,Some-college,Married,<=50K.
65,NA,Some-college,Married,>50K.
57,Private,HS-grad,Married,>50K.
59,Private,HS-grad,Married,<=50K.
27,Private,HS-grad,Married,<=50K.
31,Self,Bachelors,Never Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
29,Private,Some-college,Never Married,<=50K.
18,Private,11th,Never Married,<=50K.
52,Private,10th,Married,>50K.
57,Self,Bachelors,Divorced,<=50K.
42,NA,HS-grad,Married,<=50K.
55,NA,HS-grad,Married,<=50K.
60,Private,7th-8th,Never Married,>50K.
31,Private,Bachelors,Married,>50K.
23,Private,Bachelors,Never Married,<=50K.
27,Private,HS-grad,Never Married,<=50K.
23,NA,Some-college,Never Married,<=50K.
42,Self,Prof-school,Married,>50K.
25,Private,Some-college,Never Married,<=50K.
49,Private,Bachelors,Never Married,<=50K.
32,Private,Bachelors,Never Married,<=50K.
19,Private,Some-college,Never Married,<=50K.
60,Private,7th-8th,Divorced,<=50K.
42,Govt,9th,Married,<=50K.
35,Self,Assoc-acdm,Never Married,<=50K.
48,Private,HS-grad,Never Married,<=50K.
51,Private,Masters,Married,>50K.
29,Private,HS-grad,Never Married,<=50K.
36,Govt,HS-grad,Separated,<=50K.
17,Private,10th,Never Married,<=50K.
52,Private,Masters,Divorced,<=50K.
24,Private,HS-grad,Never Married,<=50K.
24,Private,HS-grad,Married,<=50K.
26,Govt,Bachelors,Never Married,<=50K.
27,Private,Bachelors,Never Married,<=50K.
39,Private,HS-grad,Never Married,<=50K.
30,Private,HS-grad,Married,<=50K.
50,Self,HS-grad,Married,<=50K.
52,Self,Bachelors,Married,<=50K.
46,Private,Prof-school,Married,>50K.
23,Private,Bachelors,Never Married,<=50K.
45,Private,11th,Widowed,<=50K.
65,Private,9th,Widowed,<=50K.
29,Private,Assoc-voc,Married,<=50K.
47,Private,9th,Married,<=50K.
30,Private,HS-grad,Never Married,<=50K.
34,Private,HS-grad,Married,>50K.
38,Self,HS-grad,Married,<=50K.
33,Private,Some-college,Married,>50K.
49,Private,Bachelors,Married,>50K.
47,Self,Some-college,Never Married,<=50K.
49,Govt,10th,Separated,<=50K.
43,Private,Some-college,Married,>50K.
30,Private,Bachelors,Married,>50K.
58,Self,HS-grad,Married,<=50K.
19,Private,HS-grad,Never Married,<=50K.
21,Private,Bachelors,Never Married,<=50K.
33,Private,Bachelors,Married,>50K.
47,Self,5th-6th,Married,<=50K.
52,Self,Doctorate,Married,>50K.
26,Private,HS-grad,Divorced,<=50K.
60,Private,HS-grad,Married,<=50K.
21,Private,Some-college,Never Married,<=50K.
36,Private,Some-college,Married,>50K.
31,Private,Some-college,Married,<=50K.
50,Self,Doctorate,Separated,>50K.
31,Govt,HS-grad,Divorced,<=50K.
71,Private,HS-grad,Married,<=50K.
58,NA,HS-grad,Married,<=50K.
30,Govt,Bachelors,Married,>50K.
20,Private,Some-college,Never Married,<=50K.
24,Private,HS-grad,Never Married,<=50K.
35,Private,Doctorate,Married,>50K.
38,Govt,Some-college,Separated,<=50K.
27,Private,HS-grad,Never Married,<=50K.
29,Govt,Some-college,Never Married,<=50K.
70,NA,9th,Widowed,<=50K.
34,Private,HS-grad,Married,<=50K.
44,Private,7th-8th,Married,<=50K.
43,Private,HS-grad,Married,>50K.
44,Self,12th,Married,>50K.
35,Private,Masters,Never Married,<=50K.
27,Private,Some-college,Never Married,<=50K.
43,Govt,Masters,Never Married,<=50K.
20,Private,Some-college,Never Married,<=50K.
42,Private,Assoc-acdm,Divorced,>50K.
27,Govt,Some-college,Married,<=50K.
42,Private,HS-grad,Married,>50K.
20,NA,11th,Married,<=50K.
24,Private,9th,Never Married,<=50K.
48,Govt,Some-college,Divorced,<=50K.
17,NA,11th,Never Married,<=50K.
17,Self,11th,Never Married,<=50K.
33,Private,Bachelors,Married,>50K.
50,Self,HS-grad,Married,>50K.
22,Private,HS-grad,Never Married,<=50K.
17,Private,12th,Never Married,<=50K.
32,Private,Some-college,Married,<=50K.
31,Private,HS-grad,Never Married,<=50K.
58,Self,HS-grad,Widowed,<=50K.
