"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","response","Training.Test.Validation"
"19",52,"technician","married","basic.9y","no","yes","no","telephone","may","mon",1666,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.63177
"20",41,"admin.","married","university.degree","no","yes","no","telephone","may","mon",577,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.635031
"21",58,"management","unknown","university.degree","no","yes","no","telephone","may","mon",366,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.598011
"22",32,"entrepreneur","married","high.school","no","yes","no","telephone","may","mon",314,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.064512
"23",38,"admin.","single","professional.course","no","no","no","telephone","may","mon",160,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.111269
"24",44,"admin.","married","university.degree","unknown","yes","no","telephone","may","mon",188,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.642298
"25",40,"blue-collar","married","basic.9y","no","no","yes","telephone","may","mon",178,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.096537
"26",35,"admin.","married","university.degree","no","yes","no","telephone","may","mon",355,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.505881
"27",54,"admin.","married","high.school","no","no","no","telephone","may","mon",160,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.305137
"28",53,"admin.","single","professional.course","no","no","no","telephone","may","mon",179,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.387093
"29",55,"unemployed","married","professional.course","unknown","yes","yes","telephone","may","mon",145,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.262528
"30",25,"technician","single","university.degree","no","yes","no","telephone","may","mon",174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.529421
"31",47,"entrepreneur","married","university.degree","unknown","no","no","telephone","may","mon",449,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.417947
"32",42,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","mon",164,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.593701
"33",42,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","mon",366,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.318851
"34",48,"admin.","married","high.school","no","no","no","telephone","may","mon",357,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.285783
"35",37,"admin.","married","university.degree","no","no","no","telephone","may","mon",232,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.623566
"36",44,"blue-collar","single","basic.9y","no","yes","no","telephone","may","mon",91,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.472971
"37",33,"admin.","married","unknown","no","yes","no","telephone","may","mon",273,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.207684
"38",56,"admin.","married","basic.9y","no","yes","no","telephone","may","mon",158,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.333405
"39",44,"blue-collar","single","basic.4y","unknown","yes","yes","telephone","may","mon",177,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.190389
"40",41,"management","married","basic.6y","no","no","no","telephone","may","mon",200,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.049085
"41",44,"management","divorced","university.degree","no","yes","no","telephone","may","mon",172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.326022
"42",47,"admin.","married","university.degree","unknown","yes","no","telephone","may","mon",176,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.473692
"43",41,"blue-collar","divorced","basic.4y","unknown","yes","no","telephone","may","mon",1575,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",0.473549
"44",55,"technician","married","university.degree","no","no","no","telephone","may","mon",349,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.392347
"45",33,"services","married","high.school","unknown","yes","no","telephone","may","mon",337,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.642513
"46",55,"management","married","unknown","unknown","yes","no","telephone","may","mon",272,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.221211
"47",50,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","mon",193,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.030564
"48",51,"blue-collar","married","basic.4y","unknown","unknown","unknown","telephone","may","mon",212,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.489938
"49",49,"entrepreneur","married","university.degree","unknown","yes","no","telephone","may","mon",1042,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",0.390731
"50",38,"technician","single","university.degree","no","no","yes","telephone","may","mon",20,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.513847
"51",31,"admin.","divorced","high.school","no","no","no","telephone","may","mon",246,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.41491
"52",49,"technician","married","basic.9y","no","no","no","telephone","may","mon",1467,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",0.099135
"53",34,"admin.","married","high.school","no","yes","no","telephone","may","mon",188,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.32933
"54",35,"admin.","married","university.degree","no","yes","no","telephone","may","mon",180,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.239074
"55",33,"unemployed","married","basic.9y","no","no","no","telephone","may","mon",545,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.389204
"56",42,"blue-collar","married","basic.6y","no","no","yes","telephone","may","mon",583,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.432958
"57",45,"services","married","professional.course","no","yes","no","telephone","may","mon",221,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.242973
"58",53,"admin.","divorced","university.degree","unknown","no","no","telephone","may","mon",287,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.20195
"59",44,"blue-collar","married","basic.6y","no","no","no","telephone","may","mon",257,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.647826
"60",49,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon",55,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.295658
"61",54,"services","married","unknown","no","no","no","telephone","may","mon",400,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.523639
"62",52,"admin.","divorced","university.degree","no","no","no","telephone","may","mon",197,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.268113
"63",52,"admin.","divorced","university.degree","no","no","no","telephone","may","mon",190,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.478036
"64",43,"services","single","high.school","unknown","no","no","telephone","may","mon",21,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.49497
"65",35,"admin.","married","high.school","no","yes","no","telephone","may","mon",123,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.455248
"66",42,"entrepreneur","married","unknown","unknown","yes","no","telephone","may","mon",293,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.214844
"67",60,"retired","divorced","university.degree","unknown","no","no","telephone","may","mon",514,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.049293
"68",58,"unemployed","married","basic.4y","unknown","no","no","telephone","may","mon",849,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.288269
"69",35,"services","divorced","high.school","no","yes","no","telephone","may","mon",194,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.302374
"70",37,"management","married","university.degree","no","no","no","telephone","may","mon",337,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.471009
"71",36,"blue-collar","married","high.school","no","no","no","telephone","may","mon",286,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.345443
"72",52,"admin.","divorced","university.degree","no","no","no","telephone","may","mon",247,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.169373
"73",57,"blue-collar","divorced","unknown","unknown","yes","no","telephone","may","mon",518,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.308452
"74",56,"admin.","married","unknown","no","yes","no","telephone","may","mon",364,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.227701
"75",40,"blue-collar","married","high.school","unknown","yes","no","telephone","may","mon",98,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.353375
"76",49,"blue-collar","divorced","high.school","no","no","no","telephone","may","mon",439,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.617939
"77",45,"technician","married","high.school","no","yes","no","telephone","may","mon",79,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.250583
"78",32,"admin.","married","university.degree","no","yes","yes","telephone","may","mon",175,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.119285
"79",50,"admin.","married","basic.6y","no","no","no","telephone","may","mon",61,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.56644
"80",56,"retired","married","basic.4y","no","yes","no","telephone","may","mon",102,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.414707
"81",37,"blue-collar","married","basic.6y","no","yes","yes","telephone","may","mon",143,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.418413
"82",41,"technician","married","professional.course","unknown","no","no","telephone","may","mon",677,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.206876
"83",52,"management","married","university.degree","no","no","no","telephone","may","mon",185,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.351202
"84",39,"housemaid","married","basic.4y","unknown","no","no","telephone","may","mon",69,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.070921
"85",34,"services","married","high.school","no","yes","no","telephone","may","mon",125,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.451369
"86",53,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon",136,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.450188
"87",42,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon",541,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.163506
"88",35,"admin.","single","high.school","no","yes","no","telephone","may","mon",338,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.556048
"89",60,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","mon",301,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.133437
"90",56,"entrepreneur","married","unknown","unknown","yes","no","telephone","may","mon",46,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.580943
"91",40,"blue-collar","married","unknown","no","yes","yes","telephone","may","mon",155,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.103466
"92",36,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","mon",98,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.294212
"93",51,"blue-collar","married","unknown","unknown","no","no","telephone","may","mon",243,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.471695
"94",43,"technician","single","professional.course","no","yes","no","telephone","may","mon",186,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.013568
"95",59,"services","married","high.school","no","no","no","telephone","may","mon",579,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.649117
"96",37,"blue-collar","single","basic.9y","unknown","yes","yes","telephone","may","mon",163,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.169086
"97",40,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","mon",46,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.454203
"98",42,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","mon",559,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.049593
"99",39,"services","divorced","high.school","unknown","no","no","telephone","may","mon",2033,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.43358
"100",38,"services","married","high.school","no","yes","yes","telephone","may","mon",506,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.149257
"101",40,"blue-collar","married","unknown","no","no","no","telephone","may","mon",114,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.51309
"102",54,"management","divorced","university.degree","no","yes","no","telephone","may","mon",843,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.260527
"103",43,"blue-collar","married","high.school","unknown","no","yes","telephone","may","mon",181,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.087131
"104",45,"technician","married","university.degree","no","yes","yes","telephone","may","mon",292,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.182725
"105",42,"admin.","single","university.degree","unknown","no","no","telephone","may","mon",192,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.271005
"106",46,"management","married","basic.9y","no","no","no","telephone","may","mon",128,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.124147
"107",44,"services","married","high.school","no","yes","yes","telephone","may","mon",107,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.478201
"108",51,"admin.","single","basic.6y","no","no","no","telephone","may","mon",303,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.294491
"109",28,"services","married","high.school","no","yes","no","telephone","may","mon",81,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.057012
"110",37,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon",270,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.397227
"111",34,"technician","married","high.school","no","no","no","telephone","may","mon",228,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.497821
"112",46,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","mon",240,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.117823
"113",36,"admin.","married","university.degree","no","yes","no","telephone","may","mon",233,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.401693
"114",57,"management","married","university.degree","no","no","no","telephone","may","mon",461,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.167299
"115",51,"technician","married","basic.6y","unknown","no","no","telephone","may","mon",250,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.400854
"116",34,"admin.","married","university.degree","no","yes","no","telephone","may","mon",138,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.032256
"117",38,"blue-collar","single","basic.9y","no","yes","no","telephone","may","mon",179,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.476972
"118",42,"technician","married","university.degree","no","no","no","telephone","may","mon",228,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.024606
"119",34,"blue-collar","single","basic.9y","unknown","yes","no","telephone","may","mon",55,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.354112
"120",48,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon",717,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.570397
"121",40,"admin.","married","basic.9y","unknown","yes","no","telephone","may","mon",683,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.560449
"122",43,"blue-collar","married","basic.6y","no","yes","no","telephone","may","mon",1077,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.106869
"123",33,"services","married","high.school","no","no","no","telephone","may","mon",146,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.519466
"124",39,"blue-collar","married","high.school","no","yes","no","telephone","may","mon",356,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.347467
"125",43,"admin.","married","unknown","no","no","no","telephone","may","mon",277,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.585472
"126",44,"blue-collar","married","basic.9y","no","yes","no","telephone","may","mon",172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.038366
"127",35,"student","single","university.degree","unknown","no","no","telephone","may","mon",218,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.081174
"128",35,"student","single","university.degree","unknown","yes","yes","telephone","may","mon",217,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.530102
"129",35,"unemployed","married","professional.course","no","no","no","telephone","may","mon",67,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.45809
"130",35,"student","single","university.degree","unknown","yes","no","telephone","may","mon",248,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.545428
"131",36,"student","single","basic.9y","no","yes","no","telephone","may","mon",256,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.39746
"132",57,"retired","married","unknown","unknown","no","no","telephone","may","mon",611,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.630213
"133",39,"housemaid","married","basic.4y","unknown","yes","no","telephone","may","mon",381,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.137673
"134",30,"blue-collar","single","unknown","no","yes","yes","telephone","may","mon",408,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.492825
"135",40,"services","married","high.school","no","no","no","telephone","may","mon",322,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.213994
"136",43,"technician","married","unknown","unknown","no","no","telephone","may","mon",366,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.623471
"137",46,"technician","married","basic.4y","unknown","yes","no","telephone","may","mon",288,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.045574
"138",40,"technician","married","basic.9y","no","no","no","telephone","may","mon",168,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.329023
"139",58,"retired","married","university.degree","no","no","no","telephone","may","mon",132,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.416753
"140",35,"admin.","single","university.degree","no","no","no","telephone","may","mon",209,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.25763
"141",39,"admin.","married","professional.course","no","yes","no","telephone","may","mon",580,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.202787
"142",50,"services","divorced","professional.course","no","yes","no","telephone","may","mon",165,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.568872
"143",32,"management","divorced","basic.4y","unknown","yes","no","telephone","may","mon",127,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.162474
"144",39,"admin.","married","high.school","unknown","no","no","telephone","may","mon",357,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.142297
"145",52,"self-employed","married","university.degree","unknown","no","no","telephone","may","mon",175,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.400199
"146",44,"admin.","married","professional.course","no","yes","no","telephone","may","mon",300,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.608761
"147",56,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon",136,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.256113
"148",33,"services","married","high.school","unknown","no","yes","telephone","may","mon",189,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.509681
"149",30,"technician","married","university.degree","unknown","no","no","telephone","may","mon",40,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.304375
"150",33,"services","divorced","unknown","no","no","no","telephone","may","mon",181,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.086216
"151",36,"technician","single","high.school","no","yes","no","telephone","may","mon",142,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.408353
"152",36,"blue-collar","single","high.school","no","no","yes","telephone","may","mon",389,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.12473
"153",33,"services","single","high.school","no","no","no","telephone","may","mon",702,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.472764
"154",40,"technician","divorced","professional.course","no","no","no","telephone","may","mon",151,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.149978
"155",41,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon",211,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.002284
"156",28,"services","married","unknown","no","no","no","telephone","may","mon",408,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.37618
"157",53,"services","married","high.school","no","yes","yes","telephone","may","mon",370,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.605357
"158",58,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","mon",179,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.558723
"159",45,"management","married","basic.9y","no","no","yes","telephone","may","mon",46,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.59933
"160",43,"technician","married","unknown","no","yes","no","telephone","may","mon",200,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.504369
"161",33,"admin.","married","high.school","no","no","yes","telephone","may","mon",181,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.325425
"162",27,"blue-collar","single","basic.6y","no","unknown","unknown","telephone","may","mon",119,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.173027
"163",42,"admin.","married","university.degree","no","no","no","telephone","may","mon",67,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.025361
"164",27,"blue-collar","single","basic.6y","no","no","no","telephone","may","mon",350,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.518622
"165",34,"self-employed","single","university.degree","no","yes","no","telephone","may","mon",150,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.295371
"166",31,"student","single","university.degree","unknown","no","no","telephone","may","mon",332,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.151452
"167",54,"management","divorced","university.degree","no","no","no","telephone","may","mon",611,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.241647
"168",52,"unemployed","married","high.school","unknown","yes","no","telephone","may","mon",151,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.48188
"169",47,"management","divorced","university.degree","no","no","no","telephone","may","mon",89,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.466493
"170",49,"housemaid","married","basic.9y","unknown","no","no","telephone","may","mon",152,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.366646
"171",55,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon",102,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.346339
"172",56,"technician","married","basic.4y","no","yes","no","telephone","may","mon",143,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.215951
"173",53,"admin.","married","basic.9y","no","no","no","telephone","may","mon",189,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.603412
"174",42,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","mon",189,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.400837
"175",44,"blue-collar","divorced","basic.6y","no","no","no","telephone","may","mon",55,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.117627
"176",39,"housemaid","married","basic.9y","no","yes","no","telephone","may","mon",935,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",0.496145
"177",60,"blue-collar","married","unknown","unknown","yes","no","telephone","may","mon",5,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.175809
"178",36,"services","married","high.school","no","no","no","telephone","may","mon",225,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.249344
"179",42,"management","divorced","university.degree","no","yes","no","telephone","may","mon",125,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0.305009
