AGE,INCOME,MARITAL,MORTGAGE,LOANS,RISK
33,50631,married,y,0,good risk
34,17977,married,y,2,bad loss
34,19039,married,y,1,good risk
34,21582,married,y,2,bad loss
34,24339,single,n,1,good risk
34,25276,single,y,0,good risk
34,27794,single,y,0,good risk
35,23185,married,y,2,bad loss
35,24745,single,n,1,good risk
35,27706,single,y,0,good risk
35,32827,single,y,0,good risk
35,41735,married,y,0,good risk
35,44194,married,y,1,good risk
35,45238,married,y,1,good risk
35,49600,married,y,1,good risk
36,20811,single,y,1,good risk
36,20830,married,y,2,good risk
36,20995,married,y,1,good risk
36,23232,married,y,2,bad loss
36,24974,married,y,1,bad loss
36,29608,single,y,0,good risk
36,32620,single,y,0,good risk
36,41834,married,n,0,good risk
36,43750,married,y,1,good risk
36,44048,married,y,0,good risk
36,45949,married,y,0,bad loss
37,21155,single,n,1,bad loss
37,21862,single,n,1,good risk
37,22970,other,y,2,bad loss
37,23406,married,y,2,bad loss
37,24682,married,y,1,bad loss
37,25654,married,y,1,bad loss
37,25771,single,y,0,good risk
37,43835,married,y,1,bad loss
37,44936,married,y,0,bad loss
38,20000,married,y,1,bad loss
38,20097,married,y,1,good risk
38,20287,single,n,1,bad loss
38,21620,single,y,1,good risk
38,23819,married,y,1,bad loss
38,26539,single,y,0,good risk
38,27936,other,y,2,bad loss
38,31523,single,y,0,good risk
38,41158,married,y,0,bad loss
38,46823,married,y,1,good risk
39,27841,single,y,0,good risk
39,40057,married,y,1,bad loss
39,47161,married,y,1,good risk
39,52495,married,y,1,good risk
40,20789,married,y,2,bad loss
40,21975,other,y,2,bad loss
40,24392,other,y,2,bad loss
40,24519,married,y,2,bad loss
40,28785,other,y,3,bad loss
40,29541,other,n,3,bad loss
40,40855,married,y,1,good risk
41,16921,married,y,1,bad loss
41,23851,other,n,2,bad loss
41,24724,married,y,1,bad loss
41,26826,other,n,2,bad loss
41,29069,other,n,3,bad loss
41,40246,married,y,1,bad loss
41,56470,married,y,0,bad loss
42,17580,other,n,2,good risk
42,21125,other,y,3,bad loss
42,22651,other,y,3,good risk
42,24313,other,y,2,bad loss
42,25517,other,y,3,bad loss
42,45584,married,y,0,good risk
43,24244,other,n,2,bad loss
43,24877,other,y,2,bad loss
43,25327,other,y,3,good risk
43,26943,other,n,2,bad loss
43,27517,married,y,2,bad loss
43,42106,married,y,0,good risk
43,45390,married,y,0,good risk
44,20194,other,y,3,good risk
44,25718,other,y,2,bad loss
44,27281,other,n,2,bad loss
44,27909,other,y,2,bad loss
44,28230,other,n,2,bad loss
44,28617,other,n,2,bad loss
44,28716,other,n,3,good risk
44,33454,married,y,1,good risk
44,40425,married,y,1,bad loss
44,43185,married,y,0,good risk
44,53983,married,y,0,bad loss
45,21192,other,n,3,bad loss
45,24528,other,n,2,bad loss
45,24630,married,y,2,bad loss
45,26710,other,y,2,bad loss
45,27553,other,y,2,bad loss
45,28383,married,y,1,bad loss
45,28840,other,y,0,good risk
45,29780,other,y,3,bad loss
45,44294,married,y,1,good risk
45,58381,other,y,0,good risk
46,24919,other,y,2,bad loss
47,21681,married,y,1,bad loss
47,22756,married,y,1,bad loss
47,25401,other,y,2,bad loss
47,26023,married,y,1,bad loss
47,26152,other,y,3,bad loss
47,26256,other,y,2,bad loss
48,17120,other,y,3,bad loss
48,20536,other,y,2,bad loss
48,24027,other,n,2,bad loss
49,20963,other,n,3,bad loss
49,24162,other,y,2,bad loss
49,24226,other,y,3,bad loss
49,24651,other,y,3,bad loss
50,16760,other,n,2,bad loss
50,23083,other,y,3,bad loss
50,29374,other,n,2,bad loss
