"","Int.l.Plan","VMail.Plan","Day.Mins","CustServ.Calls","Churn."
"126","no","no",201.4,1,"False."
"127","no","no",70.7,4,"True."
"130","no","yes",214.2,3,"False."
"131","no","no",145.5,3,"False."
"133","no","no",231,1,"False."
"134","no","no",200.3,4,"False."
"137","no","yes",175.8,5,"False."
"138","no","no",203.1,3,"False."
"140","no","yes",205,2,"False."
"142","no","yes",200.3,0,"False."
"144","no","no",246.5,1,"False."
"145","yes","no",167.1,2,"True."
"146","no","no",231.9,3,"False."
"147","no","no",146.7,1,"False."
"148","yes","no",271.5,1,"False."
"149","no","no",181.5,1,"False."
"150","no","yes",257.7,2,"False."
"151","no","no",193.8,1,"False."
"153","no","no",187.9,1,"False."
"154","no","no",226,1,"False."
"155","no","no",260.4,5,"False."
"156","no","no",178.7,0,"False."
"157","no","no",337.4,0,"True."
"158","no","yes",157.6,0,"False."
"159","no","no",183.6,1,"False."
"160","no","yes",142.1,1,"False."
"161","no","no",136.3,0,"False."
"162","no","no",217.1,0,"False."
"163","no","yes",187.5,3,"False."
"164","no","no",98.9,1,"False."
"165","no","no",206.3,1,"False."
"166","no","yes",243.1,2,"False."
"167","no","yes",189.8,1,"False."
"168","no","no",202,1,"False."
"170","no","no",230.9,0,"False."
"171","no","no",237.1,1,"False."
"172","no","yes",182.1,2,"False."
"173","no","no",119.3,3,"False."
"174","no","no",116.8,1,"False."
"175","no","no",219.2,0,"False."
"176","no","no",252.6,2,"False."
"177","no","no",147.1,0,"False."
"178","no","no",202.1,2,"False."
"179","no","no",173.5,3,"False."
"180","no","no",232.1,3,"False."
"181","yes","yes",197.1,4,"False."
"182","no","no",58.2,5,"True."
"183","no","yes",115.6,2,"False."
"184","no","no",186.1,2,"False."
"185","yes","no",259.9,3,"False."
"186","no","no",214.3,1,"False."
"187","no","no",158.7,1,"False."
"189","no","no",160.6,1,"False."
"190","no","no",232.4,1,"False."
"191","no","no",133.8,0,"False."
"192","no","no",176.9,1,"False."
"193","no","no",209.9,2,"False."
"194","no","no",137.5,0,"False."
"195","no","yes",289.5,1,"False."
"196","no","yes",198.1,1,"False."
"199","yes","yes",292.9,4,"True."
"200","no","no",83,0,"False."
"201","no","yes",145.7,3,"False."
"202","no","no",182.3,2,"False."
"203","no","no",218,3,"False."
"204","no","no",140.6,2,"False."
"206","no","yes",106.7,1,"False."
"210","no","no",217.2,3,"False."
"212","yes","no",203.5,0,"False."
"213","no","yes",155.2,1,"False."
"214","no","yes",167.6,1,"False."
"216","no","no",179.3,3,"False."
"217","no","no",151.4,0,"False."
"218","no","no",180,3,"False."
"219","no","no",250.2,1,"True."
"220","no","no",223,0,"False."
"221","no","no",183.6,3,"False."
"222","no","yes",166,1,"False."
"223","no","no",136.1,1,"False."
"224","no","no",149.3,2,"False."
"225","no","no",65.4,2,"False."
"226","no","no",213.4,1,"False."
"227","no","no",206.9,3,"False."
"229","no","yes",280.2,4,"False."
"230","no","yes",196.6,0,"False."
"231","yes","no",312,0,"True."
"233","no","no",203.1,3,"False."
"234","no","no",168.8,0,"False."
"235","yes","no",173.1,1,"False."
"236","no","no",134.4,5,"True."
"237","no","yes",202.6,2,"False."
"240","no","no",192.2,1,"False."
"242","yes","no",135.1,2,"True."
"243","no","no",253.4,1,"False."
"244","no","no",225,3,"False."
"245","no","no",198.5,0,"True."
"246","no","no",110.3,0,"False."
"247","no","yes",60,0,"False."
"248","no","no",214.8,0,"False."
"249","no","no",181.8,4,"False."
"250","no","yes",154,2,"False."
"251","no","yes",157.4,4,"True."
"252","no","no",207.9,4,"False."
"253","no","no",207,3,"False."
"254","no","yes",119,0,"False."
"257","no","no",138.6,1,"False."
"258","no","no",84.7,1,"False."
"260","no","no",155.2,1,"False."
"261","no","yes",164.9,1,"False."
"262","no","no",134.5,1,"False."
"263","no","no",143.3,1,"False."
"264","no","no",168.3,1,"False."
"265","no","no",262.4,2,"False."
"268","no","no",138.3,3,"False."
"269","no","yes",94.4,0,"False."
"270","yes","no",160,2,"False."
"273","no","yes",214.4,3,"False."
"274","no","no",192.8,3,"False."
"275","no","yes",151.1,1,"False."
"277","yes","no",218.9,0,"False."
"278","no","yes",189.8,2,"True."
"279","no","yes",192.7,2,"False."
"280","yes","no",204.4,3,"False."
"281","no","no",172.3,2,"False."
"282","no","no",198.4,2,"False."
"283","no","yes",211.7,1,"False."
"284","no","yes",221.6,1,"False."
"285","no","no",197.9,3,"False."
"286","no","yes",147.5,2,"False."
"288","no","no",205.9,2,"False."
"289","no","no",207.6,0,"False."
"290","no","no",303.9,1,"True."
"291","no","yes",230.6,0,"False."
"292","no","no",99.5,0,"False."
"293","no","no",177.1,1,"False."
"294","no","yes",172.7,5,"True."
"295","no","yes",172.7,1,"False."
"296","no","no",204.2,1,"False."
"297","no","no",85.7,2,"False."
"298","no","no",157.6,0,"False."
"299","no","no",215.5,4,"False."
"300","no","no",181.5,1,"False."
"301","no","no",171.7,2,"False."
"303","no","no",170.4,0,"True."
"304","no","no",158,1,"False."
"306","no","no",234,2,"False."
"307","no","no",272.1,1,"True."
"308","no","no",296.4,4,"True."
"311","no","no",248.7,1,"True."
"312","no","yes",236.3,1,"False."
"313","no","no",205.6,0,"False."
"314","no","no",94.1,0,"False."
"315","no","no",125.2,0,"False."
"316","no","no",60.4,1,"False."
"317","no","yes",121,2,"False."
"318","no","yes",117.8,3,"False."
"320","yes","yes",223.5,2,"True."
"321","no","no",176.3,0,"False."
"322","no","yes",125.2,1,"False."
"323","no","no",138.7,0,"False."
"324","no","no",86.3,1,"False."
"325","no","no",207,3,"False."
"326","no","yes",58.8,0,"False."
"328","no","yes",239.2,1,"False."
"329","no","no",198.3,0,"False."
"330","no","no",205.2,0,"False."
"331","no","no",192.1,3,"False."
"332","no","no",272.6,1,"True."
"333","no","no",128.3,7,"True."
"334","no","no",169.6,0,"False."
"335","no","no",201.3,1,"False."
"336","no","yes",214.7,1,"False."
"338","no","no",194.1,2,"False."
"339","no","no",233.8,2,"False."
"341","no","no",213,1,"True."
"342","no","no",183.9,1,"False."
"343","no","yes",221.8,0,"False."
"346","no","no",260.2,3,"False."
"347","no","yes",161.6,1,"False."
"348","no","no",220.6,1,"False."
"349","no","yes",155.9,3,"False."
"351","no","no",182.5,4,"False."
"353","no","no",152.2,1,"False."
"354","no","no",181.5,2,"False."
"355","yes","no",236.2,2,"True."
"357","yes","no",244.6,1,"False."
"358","no","yes",134.2,2,"False."
"359","yes","yes",149.7,1,"False."
"360","no","yes",150.1,1,"False."
"361","yes","no",257.1,1,"True."
"363","no","yes",141.7,1,"False."
"364","no","no",230,2,"False."
"365","no","no",162.3,0,"False."
"366","no","no",350.8,1,"True."
"367","no","no",193.3,4,"False."
"368","no","no",78.2,1,"False."
"369","no","no",83.4,1,"False."
"370","no","no",195.6,0,"False."
"372","no","no",197,2,"False."
"373","yes","no",218,0,"True."
"374","no","no",164.8,2,"False."
"376","no","yes",214,0,"False."
"377","no","no",170.5,2,"False."
"378","no","no",205.7,1,"False."
"379","yes","no",165.5,1,"True."
"380","no","no",221,2,"False."
"381","no","no",242.1,3,"False."
"384","yes","yes",196,1,"False."
"387","no","no",146.7,3,"False."
"389","no","no",102,1,"False."
"390","no","no",126,3,"False."
"391","no","no",168.4,1,"False."
"392","no","no",105.6,0,"False."
"393","no","no",206.5,5,"False."
"394","no","no",217.1,2,"False."
"395","no","no",229.6,0,"True."
"397","no","no",138.6,0,"False."
"398","no","no",234.4,1,"True."
"399","no","no",181.5,1,"False."
"400","no","no",167.3,1,"True."
"401","no","yes",121,1,"False."
"402","no","no",221.1,0,"False."
"404","no","no",222.8,1,"False."
"405","no","no",183.4,4,"False."
"406","yes","no",264.3,0,"False."
"408","no","no",157.1,4,"True."
"409","yes","no",127.3,1,"False."
"410","no","no",187.9,2,"False."
"411","no","no",178.8,2,"False."
"414","no","no",256.5,3,"False."
"415","no","no",169.5,0,"False."
"417","yes","no",171.5,1,"True."
"418","no","no",239.9,0,"False."
"419","no","yes",142.3,1,"False."
"420","no","no",184.1,2,"False."
"421","no","yes",206.9,2,"False."
"422","no","no",259.9,1,"False."
"423","no","no",203.8,0,"False."
"425","no","yes",221.6,1,"False."
"426","yes","no",192.9,1,"False."
"427","no","no",122.4,1,"False."
"429","no","no",173.2,3,"False."
"430","no","no",119.4,2,"False."
"433","no","no",243.4,1,"False."
"434","no","no",155,2,"False."
"435","no","yes",288.7,0,"False."
"439","no","no",155,1,"False."
"440","no","no",153.5,2,"False."
"442","no","no",155.3,0,"False."
"443","no","yes",133.1,1,"False."
"444","no","no",246.8,1,"False."
"445","yes","no",165.4,2,"False."
"446","no","no",59.5,0,"False."
"447","no","no",138.3,3,"False."
"448","no","no",286.7,2,"False."
"449","no","no",117.3,1,"False."
"451","no","no",127.9,0,"False."
"452","no","yes",225.5,0,"False."
"454","no","yes",198.9,1,"False."
"455","no","no",256.4,1,"True."
"456","no","no",264.8,1,"True."
"459","no","yes",190.6,3,"False."
"462","no","no",147.9,3,"False."
"463","no","yes",106.4,1,"False."
"464","no","no",133.7,0,"False."
"465","no","yes",193.5,0,"False."
"466","yes","no",178.2,3,"True."
"467","no","yes",226.2,3,"True."
"468","no","no",170.4,1,"False."
"469","no","yes",70.9,3,"False."
"470","no","yes",194.4,2,"False."
"471","no","no",240.3,1,"False."
"474","no","yes",96.6,4,"True."
"475","no","yes",214.6,0,"False."
"477","no","no",258.1,1,"False."
"479","no","no",149.8,1,"False."
"481","no","no",181.4,1,"False."
"482","no","no",151.1,1,"False."
"483","no","no",155.7,0,"False."
"484","no","no",149.9,2,"False."
"485","no","no",222.3,3,"False."
"487","yes","no",233.8,0,"False."
"488","no","no",204.2,0,"False."
"490","no","no",150.4,1,"False."
"491","no","no",208.9,0,"False."
"493","yes","no",130.7,2,"True."
"495","no","no",273.6,1,"False."
"497","no","yes",178.7,2,"False."
"498","no","no",177.5,2,"False."
"500","no","no",175.2,1,"False."
"504","yes","yes",217.2,0,"False."
"505","no","no",206.3,0,"False."
"506","no","no",159.3,1,"False."
"509","no","yes",186.6,1,"False."
"510","no","yes",170.8,5,"True."
"512","no","no",198.3,3,"False."
"513","no","no",172.8,2,"False."
"517","no","no",98.2,2,"False."
"518","no","no",214.7,2,"False."
"519","no","no",168.2,1,"False."
"520","no","no",202.9,3,"False."
"525","no","no",231.3,1,"False."
"526","no","no",47.4,2,"False."
"527","no","no",227.4,0,"False."
"529","no","no",124.8,2,"False."
"530","yes","no",68.5,0,"False."
"531","no","yes",163.5,2,"False."
"532","no","no",163,2,"False."
"533","no","yes",213.7,2,"False."
"534","no","yes",201.3,1,"False."
"536","no","no",48.4,1,"False."
"537","no","yes",171.2,1,"False."
"538","no","yes",166.5,0,"False."
"540","no","no",107.8,2,"False."
"541","no","yes",141.3,1,"False."
"542","no","yes",209.9,0,"False."
"544","no","no",234.5,3,"False."
"546","no","yes",129.5,1,"False."
"547","yes","no",279.8,2,"True."
"548","yes","yes",136.8,5,"True."
"549","no","yes",100.1,0,"False."
"550","no","yes",237.1,4,"False."
"551","no","no",172.8,4,"True."
"552","no","no",224.5,2,"False."
"553","no","no",288.1,3,"True."
"554","yes","no",78.2,2,"False."
"555","no","no",148.7,2,"False."
"557","no","no",159.5,0,"False."
"558","no","yes",194.5,1,"False."
"559","no","no",174.1,2,"True."
"560","no","no",131.8,2,"False."
"561","no","no",160.6,1,"False."
"562","no","yes",146.8,0,"False."
"563","no","yes",200.7,1,"False."
"566","no","no",211,3,"False."
"567","no","yes",121.5,2,"False."
"571","no","no",181.5,1,"False."
"573","yes","no",62.3,1,"False."
"574","no","yes",228.6,3,"False."
"575","no","no",228.1,2,"True."
"576","no","yes",309.9,1,"False."
"579","no","yes",183.8,1,"False."
"580","no","yes",186.7,1,"False."
"581","no","no",209.4,1,"True."
"583","no","no",164.2,1,"False."
"586","no","no",55.3,1,"False."
"587","yes","no",221.8,1,"False."
"588","no","no",169.6,1,"False."
"589","no","no",89.7,5,"True."
"590","no","yes",80.2,1,"False."
"591","no","no",218.9,2,"False."
"592","no","no",125.7,1,"False."
"593","no","no",176.3,2,"False."
"596","no","yes",151.4,1,"False."
"598","no","no",160.4,2,"False."
"599","no","no",159,1,"False."
"600","no","yes",214.1,0,"False."
"601","no","no",102.6,2,"False."
"602","yes","no",159.7,0,"True."
"603","no","no",202.8,1,"False."
"606","no","no",335.5,2,"True."
"607","no","no",139.5,0,"False."
"608","no","yes",142.3,1,"False."
"609","no","no",187.8,0,"False."
"610","no","no",146.2,3,"False."
"611","no","no",231.8,3,"False."
"612","no","no",193.7,1,"False."
"613","no","no",156.4,4,"False."
"614","yes","yes",220.7,1,"True."
"615","no","yes",239.8,2,"False."
"616","no","yes",172,1,"False."
"617","yes","yes",128.2,2,"False."
"618","no","no",130.2,3,"False."
"619","no","no",195.4,1,"False."
"623","no","yes",209.6,2,"False."
"624","no","no",215.7,3,"False."
"626","no","no",144.2,3,"False."
"627","yes","yes",220.2,0,"True."
"628","no","no",256.2,4,"False."
"629","no","no",112.7,1,"False."
"630","no","no",299.5,0,"True."
"631","no","no",194.8,0,"False."
"632","no","no",100.8,0,"False."
"633","no","yes",82.5,3,"False."
"634","no","yes",146.4,2,"False."
"635","no","no",177.9,2,"False."
"637","no","no",150.7,1,"False."
"638","no","yes",180.1,0,"False."
"640","no","no",128.6,0,"False."
"641","no","no",161.5,2,"False."
"642","no","no",165.3,1,"False."
"643","no","no",195,0,"False."
"644","no","no",213.8,0,"False."
"645","no","yes",205.5,1,"False."
"646","no","yes",252.9,3,"False."
"647","no","yes",235.6,0,"False."
"649","no","yes",69.1,0,"False."
"650","no","no",261.7,3,"True."
"651","no","no",235.5,2,"False."
"652","no","no",213.4,1,"False."
"654","no","yes",263.8,3,"False."
"655","no","yes",183.4,1,"False."
"656","no","no",157.6,5,"True."
"657","no","no",175.6,0,"False."
"658","no","no",242.5,2,"False."
"659","no","no",151,0,"False."
"661","no","no",264.7,1,"True."
"662","no","yes",282.3,1,"False."
"663","no","no",211.2,0,"False."
"664","no","no",197.1,3,"False."
"666","no","yes",181.8,2,"False."
"667","no","no",252,2,"False."
"668","no","no",193.8,0,"False."
"669","no","no",231.2,1,"False."
"670","no","yes",200.1,0,"False."
"671","no","yes",266.7,1,"False."
"672","no","yes",118.1,2,"False."
"673","no","no",175.3,0,"False."
"674","no","no",125.1,3,"False."
"675","no","no",176.8,1,"False."
"676","no","no",241.9,1,"False."
"677","no","no",241.2,0,"False."
"678","no","no",217.1,1,"False."
"679","no","no",195.4,0,"False."
"681","no","no",189.5,1,"False."
"682","no","no",123.1,0,"False."
"684","no","no",159.1,1,"False."
"686","no","yes",30.9,1,"False."
"687","no","no",223.2,3,"False."
"688","no","no",187.4,1,"False."
"689","no","yes",315.6,3,"False."
"690","no","no",277.5,1,"False."
"692","no","no",147.2,1,"False."
"693","no","no",185.8,4,"False."
"694","no","yes",155.4,3,"False."
"695","no","no",154.2,6,"False."
"696","no","no",97.6,1,"False."
"697","no","no",178.8,1,"False."
"700","no","no",216.8,0,"False."
"701","no","no",103.3,0,"False."
"702","no","no",139.4,0,"False."
"703","no","no",191.2,1,"False."
"704","no","yes",160,1,"False."
"705","no","no",221.7,3,"False."
"706","no","no",62.9,1,"False."
"707","no","no",215.6,1,"False."
"710","no","no",203.2,2,"False."
"712","no","no",143.7,4,"False."
"714","no","no",222.8,2,"False."
"715","no","yes",175.9,2,"False."
"716","yes","no",249.9,1,"True."
"717","yes","yes",234.5,2,"False."
"718","no","no",210.7,1,"False."
"720","no","no",190.3,2,"False."
"721","no","yes",177.1,0,"False."
"722","no","yes",87.2,6,"True."
"723","no","no",215.6,1,"False."
"724","no","no",137.4,3,"False."
"725","no","yes",192.8,1,"False."
"726","no","no",149.3,2,"False."
"729","no","yes",261.2,2,"False."
"730","no","yes",196.5,0,"False."
"731","no","no",271.2,3,"True."
"732","no","no",207.2,2,"False."
"734","no","yes",229.6,2,"False."
"735","yes","yes",187.5,1,"False."
"736","yes","no",57.1,3,"False."
"737","no","no",162.1,5,"True."
"738","yes","no",145,2,"True."
"739","no","no",159.5,1,"False."
"740","no","no",190.7,1,"False."
"741","no","yes",230.6,1,"False."
"742","no","no",34,0,"False."
"743","no","yes",193.4,5,"False."
"744","no","no",202,1,"False."
"745","no","no",191.7,1,"False."
"746","no","yes",161.3,1,"False."
"747","no","no",150.6,1,"False."
"749","no","no",220.7,1,"False."
"751","no","yes",154,3,"False."
"752","no","yes",121.1,0,"False."
"754","no","no",109.6,2,"False."
"755","no","no",209.9,1,"False."
"756","no","no",167.5,2,"False."
"757","no","no",213.9,2,"False."
"758","no","no",115.8,1,"False."
"759","no","yes",276.6,2,"False."
"761","no","no",187.3,1,"False."
"762","no","no",201.2,2,"False."
"764","no","yes",186.8,0,"False."
"766","no","no",187.6,2,"False."
"767","yes","no",230.9,0,"True."
"769","no","no",230.9,3,"False."
"771","no","no",170.7,1,"False."
"772","yes","yes",126.9,5,"True."
"773","no","no",189.5,0,"False."
"775","no","no",161.1,1,"False."
"777","no","yes",254.4,0,"False."
"778","yes","yes",127.7,2,"False."
"779","no","yes",170.5,6,"False."
"781","yes","no",273.5,2,"False."
"782","yes","no",161.9,1,"False."
"783","no","yes",241.7,1,"False."
"784","yes","no",62.8,3,"False."
"786","no","no",228.2,3,"False."
"787","no","no",209.8,0,"False."
"788","no","no",265.6,2,"True."
"789","no","no",214.9,2,"False."
"790","no","no",110.5,3,"False."
"792","no","no",137.8,2,"False."
"793","yes","yes",271.5,1,"True."
"794","no","no",112.8,2,"False."
"796","no","no",197,1,"False."
"797","no","yes",180.4,1,"False."
"798","yes","no",148.5,1,"True."
"799","no","yes",197.1,2,"False."
"800","no","yes",153.7,1,"False."
"801","no","yes",261.3,1,"False."
"802","no","no",246.2,1,"False."
"803","no","no",191,0,"False."
"804","no","no",208.3,1,"False."
"805","no","no",253,0,"False."
"807","no","no",174.4,0,"False."
"808","no","yes",127.1,1,"False."
"809","yes","yes",143.5,0,"False."
"810","no","yes",186.9,1,"False."
"812","no","no",234.8,0,"False."
"814","no","no",173.9,0,"False."
"815","no","yes",130.9,1,"False."
"817","no","no",227.9,1,"False."
"818","no","no",95.5,2,"False."
"819","no","no",185.3,1,"False."
"820","no","no",146.3,1,"False."
"822","no","no",105.8,0,"False."
"824","no","yes",149.4,1,"False."
"826","no","no",172.1,1,"False."
"827","yes","no",169.3,1,"False."
"828","no","no",119.1,0,"False."
"829","no","no",194.2,2,"False."
"831","yes","no",167.7,3,"True."
"832","no","no",202.2,2,"False."
"834","no","no",216.2,0,"False."
"835","no","no",76.4,3,"False."
"837","no","yes",210.4,0,"False."
"838","yes","yes",127.2,0,"False."
"839","no","yes",201.8,1,"False."
"840","no","yes",219.5,1,"False."
"841","no","no",99.3,3,"False."
"842","no","no",239.2,5,"False."
"843","yes","no",120.9,2,"False."
"845","no","yes",176.6,1,"False."
"846","no","yes",283.9,1,"False."
"849","no","no",237.6,0,"False."
"850","no","no",198.4,2,"False."
"852","yes","no",199.6,3,"True."
"854","no","no",134.7,3,"False."
"855","no","yes",212.7,2,"False."
"856","no","no",256.3,2,"False."
"857","no","no",183.6,1,"False."
"859","no","yes",205,1,"False."
"861","no","no",179.2,2,"False."
"862","no","no",149.4,1,"False."
"864","no","no",207.6,1,"False."
"869","no","no",196.5,0,"False."
"870","yes","no",180.9,2,"False."
"871","no","no",105,0,"False."
"872","no","no",271.4,4,"True."
"873","no","yes",206.7,1,"False."
"874","no","no",166.8,1,"False."
"875","no","no",204.9,5,"False."
"876","no","yes",154.6,1,"False."
"877","no","no",127,1,"False."
"878","yes","no",267.4,1,"False."
"879","no","no",281,1,"False."
"880","no","yes",270.8,4,"False."
"883","no","no",162.8,1,"False."
"884","no","no",146.3,1,"False."
"885","no","no",254.8,2,"False."
"886","no","yes",254.9,2,"False."
"887","no","yes",107.7,0,"False."
"889","no","no",182.9,2,"False."
"890","no","no",198.5,0,"False."
"891","no","no",178.4,0,"False."
"892","no","no",110.9,1,"False."
"893","no","yes",166.9,1,"True."
"894","yes","no",244.8,2,"False."
"895","no","no",120.8,4,"True."
"896","no","no",165.3,2,"False."
"897","no","no",126.7,2,"False."
"898","no","yes",215.9,0,"False."
"899","no","no",140.1,1,"False."
"900","no","yes",209.9,1,"False."
"901","yes","yes",139.8,0,"False."
"902","no","no",321.6,2,"True."
"904","no","no",214.2,0,"False."
"905","no","no",260,1,"True."
"906","no","no",191.9,4,"True."
"908","no","yes",118.1,1,"False."
"909","no","no",190.2,6,"False."
"910","no","yes",82.2,0,"False."
"911","no","yes",163.8,0,"False."
"913","no","no",159.8,2,"False."
"914","no","yes",214.3,1,"False."
"915","no","no",287.3,0,"True."
"916","no","no",101.2,2,"False."
"917","no","no",102.8,2,"False."
"918","no","no",109.1,0,"False."
"919","no","no",215.9,1,"False."
"921","no","no",110.1,1,"False."
"922","no","no",111,1,"False."
"923","no","no",239.9,1,"False."
"924","no","no",144.8,1,"False."
"925","no","no",135.4,1,"False."
"926","no","no",84.2,1,"False."
"929","no","yes",175.8,2,"False."
"931","no","no",136.7,0,"False."
"932","no","no",67.7,1,"False."
"933","no","no",200.4,1,"False."
"934","yes","no",125.8,1,"True."
"935","no","no",128.2,1,"False."
"936","no","no",226.3,4,"False."
"937","no","yes",162.3,0,"False."
"938","no","no",224.4,2,"False."
"939","no","no",120.5,1,"False."
"941","no","no",168.8,0,"False."
"942","no","no",153.5,2,"False."
"943","no","no",226.2,0,"False."
"944","no","no",191.9,1,"False."
"945","no","yes",167.9,4,"True."
"947","no","no",257.4,2,"True."
"948","no","yes",174.4,1,"False."
"949","no","no",159.7,1,"False."
"950","no","no",237.2,1,"False."
"951","no","no",103,1,"False."
"952","no","no",153.8,4,"False."
"953","no","no",205.1,3,"False."
"955","no","no",155.9,2,"False."
"956","no","yes",154.4,0,"False."
"957","no","yes",209.7,2,"False."
"958","yes","no",150,0,"False."
"959","no","yes",232.4,3,"False."
"960","no","no",165.4,2,"False."
"961","no","no",199.2,3,"False."
"962","no","no",217.6,0,"False."
"963","no","no",212.1,3,"False."
"965","no","yes",193.8,1,"False."
"966","no","no",175.4,0,"False."
"967","no","yes",152,2,"True."
"968","no","no",230.2,0,"False."
"969","no","yes",174.9,1,"True."
"970","no","no",190.2,0,"False."
"971","no","no",176.4,1,"False."
"972","no","no",160.9,3,"False."
"973","no","no",228.7,1,"False."
"974","no","no",144,0,"False."
"975","no","yes",135.9,6,"False."
"976","no","no",334.3,0,"True."
"977","no","no",130.5,0,"False."
"978","no","yes",134.2,4,"True."
"979","no","no",278,4,"True."
"980","no","no",105.4,0,"False."
"982","no","yes",111.8,1,"False."
"983","no","yes",159.1,1,"False."
"985","no","no",142.3,1,"False."
"986","yes","no",346.8,1,"True."
"987","no","yes",113.9,1,"False."
"988","yes","yes",267.9,1,"True."
"989","no","no",171.4,3,"False."
"992","no","yes",192.6,2,"False."
"993","no","yes",91.7,1,"False."
"994","no","no",126.3,0,"False."
"995","no","yes",251.5,3,"False."
"996","no","no",190.6,1,"False."
"997","no","no",116.1,0,"False."
"998","no","no",217.3,2,"False."
"999","no","no",179.4,0,"False."
"1000","no","no",207.7,0,"False."
"1001","no","no",277.3,2,"True."
"1002","no","no",125.3,1,"False."
"1004","no","yes",169.3,0,"False."
"1006","yes","no",216.7,2,"False."
"1007","no","no",190.4,2,"False."
"1009","no","yes",97.4,2,"False."
"1013","no","no",104.9,2,"False."
"1016","no","no",232.5,0,"False."
"1017","no","no",143.6,1,"False."
"1018","no","no",176.7,2,"False."
"1019","no","no",263.4,1,"True."
"1020","no","no",146.4,1,"False."
"1021","no","yes",145,2,"False."
"1022","no","no",167.8,1,"False."
"1023","no","no",166.9,0,"False."
"1024","no","no",142.5,2,"False."
"1025","yes","no",133,1,"False."
"1026","no","yes",252.9,1,"False."
"1027","no","yes",95,2,"False."
"1028","yes","no",194.2,1,"True."
"1029","no","no",222.8,1,"False."
"1030","no","no",201.8,0,"False."
"1031","no","yes",216,2,"True."
"1032","no","no",146.3,1,"False."
"1034","no","no",198.6,2,"False."
"1035","no","no",94.4,2,"False."
"1037","no","yes",142.6,3,"False."
"1038","yes","no",134.2,0,"False."
"1039","no","no",111.9,5,"True."
"1041","no","no",189.3,4,"False."
"1043","yes","yes",93.5,0,"False."
"1044","no","no",158.6,3,"False."
"1045","yes","no",243.2,4,"False."
"1046","no","no",176.4,4,"False."
"1047","no","no",220.9,0,"False."
"1048","no","no",144.4,0,"False."
"1049","no","no",212.3,0,"False."
"1052","no","no",263.4,0,"False."
"1053","yes","no",12.5,1,"False."
"1054","no","no",162.3,2,"False."
